PFDSM3638_00730              +     32  7.62e-08 
PFDSM3638_00825              +     14  1.20e-07 
PFDSM3638_06375              +     14  1.85e-06 
PFDSM3638_10140              +     14  2.90e-06 
PFDSM3638_09540              +     13  2.90e-06 
PFDSM3638_00290              -     17  3.35e-06 
PFDSM3638_09505              +     14  3.86e-06 
PFDSM3638_04110              +     13  3.86e-06 
PFDSM3638_02105              -     16  6.64e-06 
PFDSM3638_08080              +     13  8.58e-06 
PFDSM3638_04845              +     12  1.24e-05 
PFDSM3638_00225              +     16  1.40e-05 
PFDSM3638_07655              +     14  1.98e-05 
PFDSM3638_05040              +     13  2.21e-05 
PFDSM3638_07845              +     14  2.47e-05 
PFDSM3638_05445              +     14  2.47e-05 
PFDSM3638_02305              +     15  2.47e-05 
PFDSM3638_09650              -     19  3.05e-05 
PFDSM3638_09680              -     15  3.39e-05 
PFDSM3638_09310              +     14  3.76e-05 
PFDSM3638_03910              +     21  3.76e-05 
PFDSM3638_06235              +     21  3.76e-05 
PFDSM3638_02015              -     17  4.16e-05 
PFDSM3638_04455              -      7  8.13e-05 
PFDSM3638_04975              -     19  9.71e-05 
PFDSM3638_04490              -     16  1.15e-04 
PFDSM3638_00435              +     15  1.15e-04 
PFDSM3638_01530              +     15  1.26e-04 
PFDSM3638_01675              +     19  1.74e-04 
PFDSM3638_01190              -     25  1.74e-04 
PFDSM3638_01905              +     14  2.04e-04 
PFDSM3638_04580              +     13  2.20e-04 
PFDSM3638_04660              +     12  2.95e-04 
PFDSM3638_05185              +     15  3.17e-04 
PFDSM3638_09485              +     13  3.17e-04 
PFDSM3638_00020              +     13  8.21e-04 
PFDSM3638_07075              +     22  1.20e-03 
PFDSM3638_06025              +     14  1.20e-03 
